author_id,last_name,first_name,birth,death,dates_uncertain,mlaib_record_count
1,Shakespeare,William,1564,1616,False,61468
2,Beckett,Samuel,1906,1989,False,15193
3,Joyce,James,1882,1941,False,14685
4,Chaucer,Geoffrey,1340,1400,True,12754
5,Milton,John,1608,1674,False,11690
6,Dickens,Charles,1812,1870,False,10069
7,James,"Henry, Jr.",1843,1916,False,8888
8,Woolf,Virginia,1882,1941,False,8707
9,Faulkner,William,1897,1962,False,8487
10,Nabokov,Vladimir,1899,1977,False,8112
11,Eliot,T. S.,1888,1965,False,7952
12,Melville,Herman,1819,1891,False,7857
13,Conrad,Joseph,1857,1924,False,7377
14,Wordsworth,William,1770,1850,False,7161
15,Twain,Mark,1835,1910,False,6828
16,Austen,Jane,1775,1817,False,6540
17,Poe,Edgar Allan,1809,1849,False,6512
18,Hemingway,Ernest,1899,1961,False,5874
19,Lawrence,D. H.,1885,1930,False,5847
20,Yeats,William Butler,1865,1939,False,5813
21,Hawthorne,Nathaniel,1804,1864,False,5431
22,Spenser,Edmund,1552,1599,True,5415
23,Hardy,Thomas,1840,1928,False,5375
24,Coleridge,Samuel Taylor,1772,1834,False,5356
25,Whitman,Walt,1819,1892,False,5214
26,Pound,Ezra,1885,1972,False,4930
27,Blake,William,1757,1827,False,4920
28,Eliot,George,1819,1880,False,4800
29,Byron,"George Gordon Byron, Baron",1788,1824,False,4435
30,Emerson,Ralph Waldo,1803,1882,False,4063
31,Swift,Jonathan,1667,1745,False,4001
32,Shelley,Percy Bysshe,1792,1822,False,3995
33,Tolkien,J. R. R.,1892,1973,False,3941
34,Keats,John,1795,1821,False,3866
35,Donne,John,1571,1631,True,3815
36,Wilde,Oscar,1854,1900,False,3798
37,Dickinson,Emily,1830,1886,False,3753
38,Thoreau,Henry David,1817,1862,False,3716
39,Jonson,Ben,1572,1637,False,3674
40,Morrison,Toni,1931,2019,False,3520
41,Johnson,Samuel,1709,1784,False,3341
42,Defoe,Daniel,1660,1731,False,3186
43,Shaw,George Bernard,1856,1950,False,3095
44,Stevens,Wallace,1879,1955,False,2952
45,Pope,Alexander,1688,1744,False,2947
46,Brontë,Charlotte,1816,1855,False,2934
47,Scott,Sir Walter,1771,1832,False,2854
48,Browning,Robert,1812,1889,False,2838
49,Marlowe,Christopher,1564,1593,False,2837
50,Fitzgerald,F. Scott,1896,1940,False,2836
51,Conan Doyle,Sir Arthur,1859,1930,False,2834
52,Shelley,Mary Wollstonecraft,1797,1851,False,2805
53,Dante,,1265,1321,False,2793
54,Tennyson,"Alfred Tennyson, Baron",1809,1892,False,2787
55,Cather,Willa,1873,1947,False,2726
56,More,Sir Thomas,1478,1535,False,2608
57,Lewis,C. S.,1898,1963,False,2432
58,Dryden,John,1631,1700,False,2389
59,Kipling,Rudyard,1865,1936,False,2372
60,Pynchon,Thomas,1937,,False,2287
61,Sterne,Laurence,1713,1768,False,2251
62,Carroll,Lewis,1832,1898,False,2242
63,Hopkins,Gerard Manley,1844,1889,False,2238
64,Coetzee,J. M.,1940,,False,2217
65,O'Neill,Eugene,1888,1953,False,2171
66,Atwood,Margaret,1939,,False,2166
67,O'Connor,Flannery,1925,1964,False,2157
68,Sidney,Sir Philip,1554,1586,False,2145
69,Frost,Robert,1874,1963,False,2140
70,Wharton,Edith,1862,1937,False,2105
71,Orwell,George,1903,1950,False,2060
72,Forster,E. M.,1879,1970,False,2028
73,Williams,William Carlos,1883,1963,False,2002
74,Richardson,Samuel,1689,1761,False,1987
75,Rushdie,Salman,1947,,False,1971
76,Fielding,Henry,1707,1754,False,1968
77,Wells,H. G.,1866,1946,False,1967
78,Steinbeck,John,1902,1968,False,1954
79,Arnold,Matthew,1822,1888,False,1874
80,Stein,Gertrude,1874,1946,False,1869
81,Carlyle,Thomas,1795,1881,False,1864
82,Brontë,Emily,1818,1848,False,1810
83,Auden,W. H.,1907,1973,False,1787
84,Langland,William,1330,1400,True,1766
85,Achebe,Chinua,1930,2013,False,1709
86,Williams,Tennessee,1911,1983,False,1685
87,Ruskin,John,1819,1900,False,1684
88,Herbert,George,1593,1633,False,1660
89,Hume,David,1711,1776,False,1646
90,Wright,Richard,1908,1960,False,1641
91,Bellow,Saul,1915,2005,False,1639
92,Welty,Eudora,1909,2001,False,1635
93,Crane,Stephen,1871,1900,False,1627
94,Pinter,Harold,1930,2008,False,1592
95,Malory,Sir Thomas,,1471,True,1573
96,Cooper,James Fenimore,1789,1851,False,1552
97,Plath,Sylvia,1932,1963,False,1493
98,Stevenson,Robert Louis,1850,1894,False,1486
99,Marvell,Andrew,1621,1678,False,1478
100,Goethe,Johann Wolfgang von,1749,1832,False,1473
101,Middleton,Thomas,1570,1627,True,1464
102,Roth,Philip,1933,2018,False,1460
103,Gaskell,Elizabeth,1810,1865,False,1454
104,Locke,John,1632,1704,False,1440
105,Cervantes Saavedra,Miguel de,1547,1616,False,1431
106,Stoker,Bram,1847,1912,False,1421
107,Heaney,Seamus,1939,2013,False,1410
108,Hurston,Zora Neale,1891,1960,False,1400
109,Dreiser,Theodore,1871,1945,False,1388
110,DeLillo,Don,1936,,False,1372
111,Lessing,Doris,1919,2013,False,1368
112,Trollope,Anthony,1815,1882,False,1356
113,McCarthy,Cormac,1933,,False,1355
114,Baldwin,James,1924,1987,False,1324
115,Soyinka,Wole,1934,,False,1317
116,Rowling,J. K.,1965,,False,1312
117,Hobbes,Thomas,1588,1679,False,1306
118,London,Jack,1876,1916,False,1299
119,Greene,Graham,1904,1991,False,1287
120,Thackeray,William Makepeace,1811,1863,False,1284
121,Morris,William,1834,1896,False,1263
122,Ovid,,-43,18,False,1262
123,Ellison,Ralph,1914,1994,False,1260
124,Darwin,Charles,1809,1882,False,1257
125,Stowe,Harriet Beecher,1811,1896,False,1254
126,Howells,William Dean,1837,1920,False,1246
127,Huxley,Aldous,1894,1963,False,1229
128,Nietzsche,Friedrich Wilhelm,1844,1900,False,1225
129,Miller,Arthur,1915,2005,False,1215
130,James,William,1842,1910,False,1187
131,Pater,Walter,1839,1894,False,1176
132,Wolfe,Thomas,1900,1938,False,1167
133,Fletcher,John,1579,1625,False,1166
134,Bishop,Elizabeth,1911,1979,False,1162
135,Mansfield,Katherine,1888,1923,False,1151
136,Gissing,George,1857,1903,False,1140
137,Bacon,Francis,1561,1626,False,1134
138,Hughes,Langston,1902,1967,False,1117
139,Proust,Marcel,1871,1922,False,1113
140,Waugh,Evelyn,1903,1966,False,1104
141,Burke,Edmund,1729,1797,False,1098
142,Arendt,Hannah,1906,1975,False,1097
143,Gower,John,1330,1408,True,1088
144,Franklin,Benjamin,1706,1790,False,1084
145,Ford,Ford Madox,1873,1939,False,1070
146,Dostoevskiĭ,Fedor Mikhaĭlovich,1821,1881,False,1057
147,Warren,Robert Penn,1905,1989,False,1057
148,Du Bois,W. E. B.,1868,1963,False,1056
149,Updike,John,1932,2009,False,1056
150,Naipaul,V. S.,1932,2018,False,1055
151,Collins,Wilkie,1824,1889,False,1044
152,Doolittle,Hilda,1886,1961,False,1043
153,Chopin,Kate,1851,1904,False,1043
154,Lovecraft,Howard Phillips,1890,1937,False,1039
155,Rousseau,Jean-Jacques,1712,1778,False,1037
156,Irving,Washington,1783,1859,False,1032
157,Behn,Aphra,1640,1689,False,1030
158,Kafka,Franz,1883,1924,False,1016
159,Wollstonecraft,Mary,1759,1797,False,1007
160,Webster,John,1580,1625,True,1005
161,Burns,Robert,1759,1796,False,1004
162,Borges,Jorge Luis,1899,1986,False,999
163,Rhys,Jean,1894,1979,False,997
164,Walcott,Derek,1930,2017,False,996
165,Homer,,,,False,994
166,Augustine,Saint,354,430,False,993
167,Chesterton,Gilbert Keith,1874,1936,False,992
168,Lowell,Robert,1917,1977,False,975
169,Virgil,,-70,-19,False,966
170,Walker,Alice,1944,,False,958
171,Browning,Elizabeth Barrett,1806,1861,False,937
172,Douglass,Frederick,1817,1895,False,937
173,Bunyan,John,1628,1688,False,932
174,Kant,Immanuel,1724,1804,False,930
175,Mailer,Norman,1923,2007,False,918
176,Baudelaire,Charles,1821,1867,False,903
177,Allen,Woody,1935,,False,901
178,Swinburne,Algernon Charles,1837,1909,False,893
179,Carter,Angela,1940,1992,False,890
180,Freud,Sigmund,1856,1939,False,890
181,Rossetti,Dante Gabriel,1828,1882,False,888
182,Silko,Leslie Marmon,1948,,False,882
183,Kerouac,Jack,1922,1969,False,879
184,Durrell,Lawrence,1912,1990,False,865
185,Merton,Thomas,1915,1968,False,864
186,Dewey,John,1859,1952,False,861
187,Murdoch,Iris,1919,1999,False,850
188,De Quincey,Thomas,1785,1859,False,846
189,Cummings,E. E.,1894,1962,False,839
190,Munro,Alice,1931,,False,830
191,Bede,,673,735,False,825
192,Anderson,Sherwood,1876,1941,False,822
193,Godwin,William,1756,1836,False,822
194,Smollett,Tobias,1721,1771,False,820
195,McEwan,Ian,1948,,False,815
196,Brecht,Bertolt,1898,1956,False,811
197,Thomas,Dylan,1914,1953,False,803
198,Synge,John Millington,1871,1909,False,800
199,Moore,Marianne,1887,1972,False,797
200,Newman,"John Henry, Cardinal",1801,1890,False,793
201,Jefferson,Thomas,1743,1826,False,788
202,Lowry,Malcolm,1909,1957,False,787
203,Elizabeth I,Queen of England,1533,1603,False,781
204,Fowles,John,1926,2005,False,778
205,Lewis,Wyndham,1882,1957,False,778
206,Burney,Frances,1752,1840,False,778
207,Mill,John Stuart,1806,1873,False,774
208,Dick,Philip K.,1928,1982,False,772
209,Salinger,J. D.,1919,2010,False,772
210,Dylan,Bob,1941,,False,771
211,Baum,L. Frank,1856,1919,False,769
212,Stoppard,Tom,1937,,False,765
213,Lewis,Sinclair,1885,1951,False,760
214,Le Guin,Ursula K.,1929,2018,False,760
215,Burroughs,William S.,1914,1997,False,760
216,Boswell,James,1740,1795,False,758
217,Vonnegut,"Kurt, Jr.",1922,2007,False,748
218,Lamb,Charles,1775,1834,False,748
219,Ngũgĩ wa Thiong'o,,1938,,False,747
220,Percy,Walker,1916,1990,False,744
221,Golding,William,1911,1993,False,743
222,King,Stephen,1947,,False,740
223,Kingston,Maxine Hong,1940,,False,740
224,Ælfric,,955,1020,True,739
225,Goldsmith,Oliver,1728,1774,False,734
226,Brown,Charles Brockden,1771,1810,False,732
227,White,Patrick,1912,1990,False,728
228,Meredith,George,1828,1909,False,728
229,Norris,Frank,1870,1902,False,725
230,Hughes,Ted,1930,1998,False,723
231,Ondaatje,Michael,1943,,False,721
232,Boccaccio,Giovanni,1313,1375,True,721
233,Barth,John,1930,,False,720
234,Peirce,Charles Sanders,1839,1914,False,717
235,Said,Edward W.,1935,2003,False,714
236,Flaubert,Gustave,1821,1880,False,714
237,Dekker,Thomas,1570,1632,True,713
238,Gilman,Charlotte Perkins,1860,1935,False,711
239,Longfellow,Henry Wadsworth,1807,1882,False,710
240,Dos Passos,John,1896,1970,False,709
241,Alcott,Louisa May,1832,1888,False,706
242,Ishiguro,Kazuo,1954,,False,704
243,Chesnutt,Charles W.,1858,1932,False,703
244,Erdrich,Louise,1954,,False,702
245,Adams,Henry Brooks,1838,1918,False,702
246,Hazlitt,William,1778,1830,False,700
247,Rossetti,Christina Georgina,1830,1894,False,697
248,Auster,Paul,1947,,False,697
249,MacDonald,George,1824,1905,False,689
250,Erasmus,Desiderius,1469,1536,False,680
251,Albee,Edward,1928,2016,False,679
252,Larkin,Philip,1922,1985,False,679
253,Petrarca,Francesco,1304,1374,False,676
254,Ashbery,John,1927,2017,False,675
255,Malamud,Bernard,1914,1986,False,675
256,Southey,Robert,1774,1843,False,670
257,Edgeworth,Maria,1767,1849,False,669
258,Clare,John,1793,1864,False,667
259,Pushkin,Aleksandr Sergeevich,1799,1837,False,664
260,Cavendish,"Margaret, Duchess of Newcastle",1624,1674,True,656
261,Montaigne,Michel de,1533,1592,False,654
262,Jeffers,Robinson,1887,1962,False,654
263,Fuller,Margaret,1810,1850,False,651
264,Crane,Hart,1899,1932,False,644
265,Housman,Alfred Edward,1859,1936,False,643
266,Ibsen,Henrik,1828,1906,False,637
