work_id,title,year,year_uncertain,author_last_name,author_id,mlaib_record_count
1,Hamlet,1600,False,Shakespeare,1,5527
2,Ulysses,1922,False,Joyce,3,3941
3,Paradise Lost,1667,False,Milton,5,2894
4,King Lear,1605,False,Shakespeare,1,2575
5,The Canterbury Tales,,True,Chaucer,4,2390
6,Othello,1604,False,Shakespeare,1,2380
7,Macbeth,1606,False,Shakespeare,1,2168
8,The Tempest,1611,False,Shakespeare,1,2027
9,The Faerie Queene,1590,False,Spenser,22,1985
10,Finnegans Wake,1939,False,Joyce,3,1655
11,The Merchant of Venice,1596,False,Shakespeare,1,1581
12,The Lord of the Rings,1954,False,Tolkien,33,1490
13,Romeo and Juliet,1594,False,Shakespeare,1,1447
14,Piers Plowman,,True,Langland,84,1395
15,Lolita,1955,False,Nabokov,10,1379
16,Frankenstein,1818,False,Shelley,52,1341
17,Moby-Dick,1851,False,Melville,12,1265
18,A Midsummer Night's Dream,1594,False,Shakespeare,1,1197
19,Heart of Darkness,1899,False,Conrad,13,1186
20,Troilus and Criseyde,,True,Chaucer,4,1148
21,Sonnets,,True,Shakespeare,1,1000
22,Jane Eyre,1847,False,Brontë,46,998
23,The Winter's Tale,1610,False,Shakespeare,1,941
24,Henry V,1599,False,Shakespeare,1,933
25,The Waste Land,1922,False,Eliot,11,922
26,Measure for Measure,1604,False,Shakespeare,1,920
27,Twelfth Night,1601,False,Shakespeare,1,918
28,Tristram Shandy,1760,False,Sterne,61,905
29,A Portrait of the Artist as a Young Man,1916,False,Joyce,3,893
30,Antony and Cleopatra,1607,False,Shakespeare,1,886
31,The Adventures of Huckleberry Finn,1884,False,Twain,15,880
32,Julius Caesar,1599,False,Shakespeare,1,872
33,Harry Potter series,,True,Rowling,116,853
34,Beloved,1987,False,Morrison,40,847
35,Dracula,1897,False,Stoker,106,845
36,Richard III,1592,False,Shakespeare,1,841
37,Robinson Crusoe,1719,False,Defoe,42,818
38,Wuthering Heights,1847,False,Brontë,82,817
39,Le Morte Darthur,,True,Malory,95,815
40,Mrs. Dalloway,1925,False,Woolf,8,775
41,Richard II,1595,False,Shakespeare,1,770
42,The Prelude,1799,False,Wordsworth,14,768
43,Gulliver's Travels,1726,False,Swift,31,764
44,Pride and Prejudice,1813,False,Austen,16,759
45,Alice's Adventures in Wonderland,1865,False,Carroll,62,754
46,Titus Andronicus,1590,False,Shakespeare,1,720
47,Sherlock Holmes stories,,True,Conan Doyle,51,704
48,Utopia,1516,False,More,56,703
49,Coriolanus,1608,False,Shakespeare,1,702
50,Middlemarch,1871,False,Eliot,28,700
51,To the Lighthouse,1927,False,Woolf,8,695
52,Molloy,1951,False,Beckett,2,684
53,The Great Gatsby,1925,False,Fitzgerald,50,683
54,Bleak House,1852,False,Dickens,6,668
55,The Scarlet Letter,1850,False,Hawthorne,21,667
56,As You Like It,1598,False,Shakespeare,1,664
57,Troilus and Cressida,1602,False,Shakespeare,1,652
58,The Taming of the Shrew,1592,False,Shakespeare,1,639
59,Mansfield Park,1814,False,Austen,16,639
60,Emma,1815,False,Austen,16,632
61,Walden,1854,False,Thoreau,38,624
62,The Cantos,,True,Pound,26,609
63,Waiting for Godot,1954,False,Beckett,2,607
64,1984,1949,False,Orwell,71,607
65,"Absalom, Absalom!",1936,False,Faulkner,9,591
66,Great Expectations,1860,False,Dickens,6,590
67,En attendant Godot,1952,False,Beckett,2,589
68,Clarissa,1747,False,Richardson,74,582
69,La Divina Commedia,1320,True,Dante,53,577
70,The Sound and the Fury,1929,False,Faulkner,9,570
71,Henry IV plays,,True,Shakespeare,1,558
72,Gravity's Rainbow,1973,False,Pynchon,60,556
73,Quijote,1605,False,Cervantes Saavedra,105,539
74,Uncle Tom's Cabin,1852,False,Stowe,125,527
75,Leaves of Grass,1855,False,Whitman,25,522
76,Things Fall Apart,1958,False,Achebe,85,509
77,The Picture of Dorian Gray,1891,False,Wilde,36,497
78,Invisible Man,1952,False,Ellison,123,487
79,Cymbeline,1609,False,Shakespeare,1,479
80,Pale Fire,1962,False,Nabokov,10,478
81,Love's Labour's Lost,1593,False,Shakespeare,1,468
82,Daniel Deronda,1876,False,Eliot,28,466
83,Dubliners,1914,False,Joyce,3,465
84,Don Juan,1819,False,Byron,29,464
85,Much Ado about Nothing,1599,False,Shakespeare,1,458
86,Doctor Faustus,,True,Marlowe,49,457
87,Tess of the D'Urbervilles,1891,False,Hardy,23,453
88,Orlando,1928,False,Woolf,8,451
89,Henry IV Part 1,1597,False,Shakespeare,1,445
90,Confessio Amantis,,True,Gower,143,436
91,Persuasion,1818,False,Austen,16,435
92,The Awakening,1899,False,Chopin,153,416
93,Samson Agonistes,1671,False,Milton,5,415
94,Lord Jim,1900,False,Conrad,13,407
95,Midnight's Children,1980,False,Rushdie,75,407
96,Villette,1853,False,Brontë,46,406
97,All's Well That Ends Well,1603,False,Shakespeare,1,405
98,Pericles,1608,False,Shakespeare,1,401
99,Pamela,1740,False,Richardson,74,398
100,The Portrait of a Lady,1881,False,James,7,397
101,The Hobbit,1937,False,Tolkien,33,388
102,David Copperfield,1849,False,Dickens,6,387
103,The Waves,1931,False,Woolf,8,385
104,The Satanic Verses,1988,False,Rushdie,75,385
105,Paradise Regained,1671,False,Milton,5,379
106,The Grapes of Wrath,1939,False,Steinbeck,78,368
107,Light in August,1932,False,Faulkner,9,365
108,Leviathan,1651,False,Hobbes,117,363
109,The Turn of the Screw,1898,False,James,7,363
110,Billy Budd,,True,Melville,12,362
111,The Book of Margery Kempe,,True,Kempe,309,360
112,The Merry Wives of Windsor,1599,False,Shakespeare,1,360
113,Disgrace,1999,False,Coetzee,64,360
114,Bartleby the Scrivener,,True,Melville,12,360
115,Native Son,1940,False,Wright,90,359
116,Their Eyes Were Watching God,1937,False,Hurston,108,358
117,Four Quartets,1943,False,Eliot,11,354
118,As I Lay Dying,1930,False,Faulkner,9,352
119,Women in Love,1920,False,Lawrence,19,352
120,"Ada, or Ardor",1969,False,Nabokov,10,349
121,Tom Jones,1749,False,Fielding,76,347
122,The Sun Also Rises,1926,False,Hemingway,18,342
123,Jude the Obscure,1895,False,Hardy,23,342
124,Our Mutual Friend,1864,False,Dickens,6,338
125,A Room of One's Own,1929,False,Woolf,8,331
126,The House of Fame,,True,Chaucer,4,327
127,Arcadia,1580,False,Sidney,68,326
128,The Secret Agent,1907,False,Conrad,13,322
129,The Comedy of Errors,1592,False,Shakespeare,1,320
130,A Passage to India,1924,False,Forster,72,320
131,Northanger Abbey,1818,False,Austen,16,318
132,Watt,1953,False,Beckett,2,318
133,Sense and Sensibility,1811,False,Austen,16,318
134,Dr. Jekyll and Mr. Hyde,1886,False,Stevenson,98,316
135,À la recherche du temps perdu,1913,False,Proust,139,315
136,Oliver Twist,1837,False,Dickens,6,314
137,Endgame,1958,False,Beckett,2,314
138,The Dead,,True,Joyce,3,313
139,The Woman Warrior,1976,False,Kingston,223,313
140,The Unnamable,1958,False,Beckett,2,310
141,Timon of Athens,1608,False,Shakespeare,1,309
142,The Rime of the Ancient Mariner,1798,False,Coleridge,24,308
143,The Duchess of Malfi,1623,False,Webster,160,306
144,Fin de partie,1957,False,Beckett,2,304
145,The Crying of Lot 49,1966,False,Pynchon,60,304
146,L'Innommable,1953,False,Beckett,2,301
147,The Book of the Duchess,,True,Chaucer,4,299
148,The Mill on the Floss,1860,False,Eliot,28,299
149,The Canterbury Tales: The Knight's Tale,,True,Chaucer,4,298
150,The Pilgrim's Progress,1678,False,Bunyan,173,298
151,The Canterbury Tales: The Wife of Bath's Tale,,True,Chaucer,4,295
152,The Road,2006,False,McCarthy,113,292
153,Revelations of Divine Love,,True,Julian of Norwich,372,292
154,The Ambassadors,1903,False,James,7,289
155,Between the Acts,1941,False,Woolf,8,287
156,Wide Sargasso Sea,1966,False,Rhys,163,284
157,Little Dorrit,1855,False,Dickens,6,281
158,A Farewell to Arms,1929,False,Hemingway,18,281
159,The House of Mirth,1905,False,Wharton,70,280
160,Death of a Salesman,1949,False,Miller,129,278
161,Lady Chatterley's Lover,1928,False,Lawrence,19,276
162,The Legend of Good Women,,True,Chaucer,4,276
163,Tamburlaine the Great,1587,True,Marlowe,49,273
164,Lyrical Ballads,1798,False,Wordsworth,14,272
165,The Handmaid's Tale,1985,False,Atwood,66,270
166,Salomé,1893,False,Wilde,36,270
167,Historia Regum Britanniae,,True,Geoffrey of Monmouth,277,268
168,A Sentimental Journey,1768,False,Sterne,61,268
169,King John,1596,False,Shakespeare,1,268
170,The Silmarillion,,True,Tolkien,33,263
171,The Color Purple,1982,False,Walker,170,262
172,A Streetcar Named Desire,1947,False,Williams,86,261
173,My Ántonia,1918,False,Cather,55,261
174,Incidents in the Life of a Slave Girl,1861,False,Jacobs,388,261
175,The Golden Bowl,1904,False,James,7,260
176,Sanctuary,1931,False,Faulkner,9,258
177,The Rainbow,1915,False,Lawrence,19,258
178,Pierre,1852,False,Melville,12,257
179,Comus,1634,False,Milton,5,254
180,Venus and Adonis,1593,False,Shakespeare,1,254
181,Henry VIII,1613,False,Shakespeare,1,253
182,Henry VI plays,,True,Shakespeare,1,252
183,Historia Ecclesiastica Gentis Anglorum,,True,Bede,191,251
184,The Shepheardes Calender,1579,False,Spenser,22,251
185,Ceremony,1977,False,Silko,182,250
186,Childe Harold's Pilgrimage,1812,False,Byron,29,250
187,The Spanish Tragedy,1589,True,Kyd,315,250
188,Under the Volcano,1947,False,Lowry,202,250
189,A Tale of Two Cities,1859,False,Dickens,6,249
190,Brave New World,1932,False,Huxley,127,249
191,Three Guineas,1938,False,Woolf,8,246
192,Through the Looking-Glass,1871,False,Carroll,62,245
193,Benito Cereno,1855,False,Melville,12,245
194,Hard Times,1854,False,Dickens,6,243
195,Vanity Fair,1847,False,Thackeray,120,242
196,The Temple,1633,False,Herbert,88,241
197,The Bluest Eye,1970,False,Morrison,40,240
198,The Rape of Lucrece,1594,False,Shakespeare,1,240
199,The Interesting Narrative of the Life of Olaudah Equiano,1789,False,Equiano,440,240
200,The Wings of the Dove,1902,False,James,7,240
201,Sister Carrie,1900,False,Dreiser,109,239
202,Sons and Lovers,1913,False,Lawrence,19,238
203,The Love Song of J. Alfred Prufrock,,True,Eliot,11,238
204,The Wonderful Wizard of Oz,1900,False,Baum,211,237
205,Henry IV Part 2,1598,False,Shakespeare,1,236
206,Song of Solomon,1977,False,Morrison,40,236
207,La Divina Commedia: Inferno,,True,Dante,53,236
208,Volpone,1606,False,Jonson,39,235
209,Nostromo,1904,False,Conrad,13,235
210,Under Western Eyes,1911,False,Conrad,13,234
211,Lycidas,,True,Milton,5,233
212,The Rape of the Lock,1712,False,Pope,45,226
213,A Connecticut Yankee in King Arthur's Court,1889,False,Twain,15,226
214,Dombey and Son,1846,False,Dickens,6,225
215,The Professor's House,1925,False,Cather,55,225
216,Adam Bede,1859,False,Eliot,28,224
217,Narrative of the Life of Frederick Douglass,1845,False,Douglass,172,224
218,A Treatise of Human Nature,1739,False,Hume,89,224
219,The Chronicles of Narnia,1950,False,Lewis,57,222
220,Oroonoko,1688,False,Behn,157,222
221,The Confidence-Man,1857,False,Melville,12,221
222,Twilight series,,True,Meyer,460,219
223,Nightwood,1936,False,Barnes,280,219
224,The Catcher in the Rye,1951,False,Salinger,209,219
225,Typee,1846,False,Melville,12,219
226,Astrophel and Stella,1591,False,Sidney,68,218
227,The Fall of the House of Usher,,True,Poe,17,218
228,Blood Meridian,1985,False,McCarthy,113,218
229,A Vindication of the Rights of Woman,1792,False,Wollstonecraft,159,217
230,The Red Badge of Courage,1895,False,Crane,93,217
231,Essay concerning Human Understanding,1690,False,Locke,104,216
232,Brut,,True,Layamon,462,215
233,Malone meurt,1951,False,Beckett,2,214
234,Sula,1973,False,Morrison,40,212
235,A Tale of a Tub,1704,False,Swift,31,212
236,Essais,1580,False,Montaigne,261,211
237,The Woman in White,1860,False,Collins,151,211
238,Malone Dies,1956,False,Beckett,2,211
239,The Works of Ossian,1765,False,Macpherson,331,209
240,Kim,1901,False,Kipling,59,207
241,De Consolatione Philosophiae,,True,Boethius,288,206
242,Borderlands/La Frontera,1987,False,Anzaldúa,300,206
243,Howards End,1910,False,Forster,72,206
244,Biographia Literaria,1817,False,Coleridge,24,205
245,Pnin,1957,False,Nabokov,10,204
246,The Origin of Species,1859,False,Darwin,124,203
247,The Time Machine,1895,False,Wells,77,202
248,Omeros,1990,False,Walcott,164,202
249,The God of Small Things,1997,False,Roy,430,202
250,The Blithedale Romance,1852,False,Hawthorne,21,202
251,Jacob's Room,1922,False,Woolf,8,201
252,The Yellow Wall Paper,,True,Gilman,238,200
253,Moll Flanders,1722,False,Defoe,42,199
254,The Defence of Poesie,1595,False,Sidney,68,199
255,Little Women,1868,False,Alcott,241,198
256,The Pickwick Papers,1836,False,Dickens,6,198
257,The Souls of Black Folk,1903,False,Du Bois,148,198
258,Maus: A Survivor's Tale,1986,False,Spiegelman,436,197
259,The Parliament of Fowls,,True,Chaucer,4,197
260,The Marble Faun,1860,False,Hawthorne,21,196
261,Jerusalem,1804,False,Blake,27,195
262,Shirley,1849,False,Brontë,46,194
263,The Canterbury Tales: The Clerk's Tale,,True,Chaucer,4,194
264,Edward II,1592,False,Marlowe,49,194
265,On the Road,1957,False,Kerouac,183,192
266,The Canterbury Tales: The Miller's Tale,,True,Chaucer,4,192
267,The Two Gentlemen of Verona,1592,False,Shakespeare,1,191
268,For Whom the Bell Tolls,1940,False,Hemingway,18,191
269,The Canterbury Tales: The Franklin's Tale,,True,Chaucer,4,189
270,Mary Barton,1848,False,Gaskell,103,189
271,The House of the Seven Gables,1851,False,Hawthorne,21,188
272,The Alexandria quartet,,True,Durrell,184,187
273,Joseph Andrews,1742,False,Fielding,76,187
274,Confessions of an English Opium Eater,1822,False,De Quincey,188,186
275,New Arcadia,1590,False,Sidney,68,186
276,V.,1963,False,Pynchon,60,185
277,A Dictionary of the English Language,1755,False,Johnson,41,185
278,"Speak, Memory",1951,False,Nabokov,10,184
279,In Memoriam A. H. H.,1850,False,Tennyson,54,183
280,Hunger Games trilogy,,True,Collins,525,183
281,North and South,1855,False,Gaskell,103,181
282,The Canterbury Tales: The Pardoner's Tale,,True,Chaucer,4,180
283,The French Lieutenant's Woman,1969,False,Fowles,204,180
284,Prometheus Unbound,1820,False,Shelley,32,179
285,White Noise,1985,False,DeLillo,110,178
286,The Tragedy of Pudd'nhead Wilson,1894,False,Twain,15,178
287,Oryx and Crake,2003,False,Atwood,66,177
288,The Dunciad,1728,False,Pope,45,177
289,Long Day's Journey into Night,1956,False,O'Neill,65,176
290,Waiting for the Barbarians,1980,False,Coetzee,64,176
291,The Tenant of Wildfell Hall,1848,False,Brontë,311,175
292,Never Let Me Go,2005,False,Ishiguro,242,175
293,The Old Curiosity Shop,1840,False,Dickens,6,175
294,Kubla Khan,,True,Coleridge,24,175
295,Caleb Williams,1794,False,Godwin,193,175
296,Song of Myself,,True,Whitman,25,174
297,A Song of Ice and Fire series,,True,Martin,522,174
298,Urania,1621,False,Wroth,368,172
299,The Canterbury Tales: General Prologue,,True,Chaucer,4,172
300,Foe,1986,False,Coetzee,64,171
301,Murphy,1938,False,Beckett,2,170
302,The Age of Innocence,1920,False,Wharton,70,170
303,The Voyage Out,1915,False,Woolf,8,168
304,The Bostonians,1886,False,James,7,168
305,The Narrative of Arthur Gordon Pym of Nantucket,1838,False,Poe,17,168
306,The Changeling,1622,False,Middleton,101,167
307,The Canterbury Tales: The Man of Law's Tale,,True,Chaucer,4,167
308,Lord of the Flies,1954,False,Golding,221,167
309,Jazz,1992,False,Morrison,40,166
310,The Golden Notebook,1962,False,Lessing,111,166
311,Idylls of the King,1859,False,Tennyson,54,166
312,The Changeling,1622,False,Rowley,360,165
313,The Return of the Native,1878,False,Hardy,23,165
314,The Good Soldier,1915,False,Ford,145,165
315,The Alchemist,1610,False,Jonson,39,164
316,The Last of the Mohicans,1826,False,Cooper,96,164
317,The Importance of Being Earnest,1895,False,Wilde,36,164
318,The Island of Dr. Moreau,1896,False,Wells,77,164
319,Passing,1929,False,Larsen,328,163
320,Lines Composed a Few Miles above Tintern Abbey,,True,Wordsworth,14,163
321,Paradise,1997,False,Morrison,40,162
322,The Jew of Malta,1590,False,Marlowe,49,162
323,Cane,1923,False,Toomer,362,162
324,Anne of Green Gables,1908,False,Montgomery,307,161
325,Henry VI Part 2,1590,False,Shakespeare,1,159
326,The Mayor of Casterbridge,1886,False,Hardy,23,158
327,The English Patient,1992,False,Ondaatje,231,158
328,The Monk,1796,False,Lewis,403,157
329,The Gift,1963,False,Nabokov,10,157
330,The Mysteries of Udolpho,1794,False,Radcliffe,296,156
331,Mandeville's Travels,,True,Mandeville,577,156
332,Tender Is the Night,1934,False,Fitzgerald,50,156
333,The Canterbury Tales: The Prioress's Tale,,True,Chaucer,4,156
334,Areopagitica,1644,False,Milton,5,155
335,Sir Charles Grandison,1753,False,Richardson,74,155
336,News from Nowhere,1890,False,Morris,121,155
337,Atonement,2001,False,McEwan,195,155
338,Ode on a Grecian Urn,,True,Keats,34,153
339,A Christmas Carol,1843,False,Dickens,6,152
340,The Years,1937,False,Woolf,8,152
341,Evelina,1778,False,Burney,206,152
342,Arrow of God,1964,False,Achebe,85,152
343,A View of the Present State of Ireland,1596,False,Spenser,22,152
344,Elizabeth Costello,2003,False,Coetzee,64,152
345,Dar,1937,False,Nabokov,10,152
346,Underworld,1997,False,DeLillo,110,151
347,Neuromancer,1984,False,Gibson,352,150
348,Faust,1808,False,Goethe,100,150
349,La Dernière Bande,1959,False,Beckett,2,150
350,Gone with the Wind,1936,False,Mitchell,583,149
351,The Actes and Monuments of These Latter and Perillous Dayes,1563,False,Foxe,594,149
352,Brideshead Revisited,1945,False,Waugh,140,149
353,Krapp's Last Tape,1958,False,Beckett,2,148
354,Vineland,1990,False,Pynchon,60,148
355,Almanac of the Dead,1991,False,Silko,182,148
356,Angels in America,1993,False,Kushner,450,147
357,The Last Man,1826,False,Shelley,52,147
358,Romola,1863,False,Eliot,28,147
359,The Excursion,1814,False,Wordsworth,14,146
360,To Kill a Mockingbird,1960,False,Lee,691,146
361,Waverley,1814,False,Scott,47,146
362,Peter Pan,1904,False,Barrie,340,145
363,Lady Audley's Secret,1862,False,Braddon,353,145
364,A Vision,1925,False,Yeats,20,145
365,Death Comes for the Archbishop,1927,False,Cather,55,145
366,Quicksand,1928,False,Larsen,328,144
367,The Mystery of Edwin Drood,1870,False,Dickens,6,144
368,Film,1963,False,Beckett,2,144
369,The War of the Worlds,1898,False,Wells,77,143
370,Falling Man,2007,False,DeLillo,110,143
371,Wise Blood,1952,False,O'Connor,67,143
372,Silas Marner,1861,False,Eliot,28,143
373,Far from the Madding Crowd,1874,False,Hardy,23,142
374,Sartor Resartus,1833,False,Carlyle,81,142
375,De Doctrina Christiana,,True,Milton,5,141
376,Infinite Jest,1996,False,Wallace,302,141
377,Black Boy,1945,False,Wright,90,141
378,The Adventures of Tom Sawyer,1876,False,Twain,15,141
379,The Anatomy of Melancholy,1621,False,Burton,459,140
380,The House on Mango Street,1983,False,Cisneros,345,140
381,The Autobiography of an Ex-Colored Man,1912,False,Johnson,482,140
382,Orientalism,1978,False,Said,235,140
383,"Go Down, Moses and Other Stories",1942,False,Faulkner,9,140
384,The Moonstone,1868,False,Collins,151,140
385,Dream of Fair to Middling Women,,True,Beckett,2,140
386,Martin Chuzzlewit,1843,False,Dickens,6,140
387,The Murders in the Rue Morgue,,True,Poe,17,139
388,Aurora Leigh,1856,False,Browning,171,139
389,Rasselas,1759,False,Johnson,41,139
390,The Real Life of Sebastian Knight,1941,False,Nabokov,10,139
391,The Canterbury Tales: The Nun's Priest's Tale,,True,Chaucer,4,139
392,The Story of an African Farm,1883,False,Schreiner,386,139
393,Paterson,1946,False,Williams,73,138
394,Christabel,1816,False,Coleridge,24,137
395,The Castle of Otranto,1764,False,Walpole,339,136
396,Autobiography,,True,Franklin,144,136
397,The Brief Wondrous Life of Oscar Wao,2007,False,Díaz,488,136
398,Worstward Ho,1983,False,Beckett,2,136
399,Orlando furioso,1516,False,Ariosto,426,136
400,The Song of the Lark,1915,False,Cather,55,136
401,Do Androids Dream of Electric Sheep?,1968,False,Dick,208,135
402,The Joy Luck Club,1989,False,Tan,489,135
403,His Dark Materials novels,,True,Pullman,654,135
404,Manfred,1817,False,Byron,29,135
405,Alice books,,True,Carroll,62,135
406,Il Decameron,1348,True,Boccaccio,232,135
407,The Old Man and the Sea,1952,False,Hemingway,18,134
408,The Ring and the Book,1868,False,Browning,48,134
409,White Teeth,2000,False,Smith,401,133
410,Animal Farm,1945,False,Orwell,71,133
411,Fun Home,2006,False,Bechdel,651,133
412,A Journal of the Plague Year,1722,False,Defoe,42,133
413,Saturday,2005,False,McEwan,195,132
414,Wieland,1798,False,Brown,226,132
415,Milton,1804,False,Blake,27,132
416,Les Bienveillantes,2006,False,Littell,921,131
417,Roxana,1724,False,Defoe,42,131
418,The Raven,,True,Poe,17,131
419,The Remains of the Day,1989,False,Ishiguro,242,131
420,Shame,1983,False,Rushdie,75,131
421,Oh! les beaux jours,1963,False,Beckett,2,130
422,Reflections on the Revolution in France,1790,False,Burke,141,130
423,The Hamlet,1940,False,Faulkner,9,130
424,The Four Zoas,1797,False,Blake,27,130
425,A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful,1756,False,Burke,141,130
426,Signs and Symbols,,True,Nabokov,10,130
